"","Interest.Group","Year","total_contributions","amount_contributed","recipient"
"1","ACTION WISCONSIN",2006,816897.97,0,"Party Committee"
"2","ACTION WISCONSIN",2006,816897.97,816897.97,"Candidate"
"3","AFTER 8 INC",2000,150,0,"Party Committee"
"4","AFTER 8 INC",2000,150,150,"Candidate"
"5","ALICE B TOKLAS LESBIAN GAY DEMOCRATIC CLUB",2008,500,500,"Party Committee"
"6","ALICE B TOKLAS LESBIAN GAY DEMOCRATIC CLUB",2008,500,0,"Candidate"
"7","ALICE B TOKLAS LGBT DEMOCRATIC CLUB PAC",2010,396,0,"Party Committee"
"8","ALICE B TOKLAS LGBT DEMOCRATIC CLUB PAC",2010,396,396,"Candidate"
"9","ALLIANCE FOR FULL ACCEPTANCE",2006,41313.9,0,"Party Committee"
"10","ALLIANCE FOR FULL ACCEPTANCE",2006,41313.9,41313.9,"Candidate"
"11","AMERICAN AIDS",1998,1000,0,"Party Committee"
"12","AMERICAN AIDS",1998,1000,1000,"Candidate"
"13","AMERICAN AIDS",1996,500,0,"Party Committee"
"14","AMERICAN AIDS",1996,500,500,"Candidate"
"15","ARCUS FOUNDATION",2009,97557,0,"Party Committee"
"16","ARCUS FOUNDATION",2009,97557,97557,"Candidate"
"17","ARIZONA HUMAN RIGHTS FUND",2004,5280,5000,"Party Committee"
"18","ARIZONA HUMAN RIGHTS FUND",2004,5280,280,"Candidate"
"19","ARIZONA HUMAN RIGHTS FUND",2002,270,0,"Party Committee"
"20","ARIZONA HUMAN RIGHTS FUND",2002,270,270,"Candidate"
"21","ARIZONA HUMAN RIGHTS FUND",2000,4578,0,"Party Committee"
"22","ARIZONA HUMAN RIGHTS FUND",2000,4578,4578,"Candidate"
"23","ARIZONA HUMAN RIGHTS FUND",1998,4827.96,0,"Party Committee"
"24","ARIZONA HUMAN RIGHTS FUND",1998,4827.96,4827.96,"Candidate"
"25","ARIZONA HUMAN RIGHTS FUND",1996,8010,0,"Party Committee"
"26","ARIZONA HUMAN RIGHTS FUND",1996,8010,8010,"Candidate"
"27","ARIZONA STONEWALL DEMOCRATS",2002,1550,1550,"Party Committee"
"28","ARIZONA STONEWALL DEMOCRATS",2002,1550,0,"Candidate"
"29","ARIZONA STONEWALL DEMOCRATS",2000,3000,3000,"Party Committee"
"30","ARIZONA STONEWALL DEMOCRATS",2000,3000,0,"Candidate"
"31","ARIZONA TOGETHER",2006,500,0,"Party Committee"
"32","ARIZONA TOGETHER",2006,500,500,"Candidate"
"33","ARIZONA TOGETHER SUPPORTERS INC",2008,161100,0,"Party Committee"
"34","ARIZONA TOGETHER SUPPORTERS INC",2008,161100,161100,"Candidate"
"35","ASTRAEA FOUNDATION",2004,350,0,"Party Committee"
"36","ASTRAEA FOUNDATION",2004,350,350,"Candidate"
"37","ATLANTA STONEWALL DEMOCRATS",2010,50,0,"Party Committee"
"38","ATLANTA STONEWALL DEMOCRATS",2010,50,50,"Candidate"
"39","ATLANTA STONEWALL DEMOCRATS",2007,2000,2000,"Party Committee"
"40","ATLANTA STONEWALL DEMOCRATS",2007,2000,0,"Candidate"
"41","ATLANTA STONEWALL DEMOCRATS",2006,2725,0,"Party Committee"
"42","ATLANTA STONEWALL DEMOCRATS",2006,2725,2725,"Candidate"
"43","AUSTIN GAY & LESBIAN INTERNATIONAL FILM FESTIVAL",2005,500,0,"Party Committee"
"44","AUSTIN GAY & LESBIAN INTERNATIONAL FILM FESTIVAL",2005,500,500,"Candidate"
"45","BALTIMORE OUTLOUD",2012,800,0,"Party Committee"
"46","BALTIMORE OUTLOUD",2012,800,800,"Candidate"
"47","BALTIMORE OUTLOUD",2006,500,0,"Party Committee"
"48","BALTIMORE OUTLOUD",2006,500,500,"Candidate"
"49","BASIC RIGHTS OF OR ELECT PAC 3087",2000,2564,0,"Party Committee"
"50","BASIC RIGHTS OF OR ELECT PAC 3087",2000,2564,2564,"Candidate"
"51","BASIC RIGHTS OF OREGON ELECT PAC 3087",2000,2503,0,"Party Committee"
