"","Interest.Group","Year","Total_Contributions","Party.Committee","Party_Committee_Contribution","Total_Party_Committee_Contribution_by_Year","Percent_Donated_to_Party_Committees"
"1","ACTION WISCONSIN",2006,816897.97,"0",0,0,0
"2","AFTER 8 INC",2000,150,"0",0,0,0
"3","ALICE B TOKLAS LESBIAN GAY DEMOCRATIC CLUB",2008,500,"CALIFORNIA DEMOCRATIC PARTY",500,500,1
"4","ALICE B TOKLAS LGBT DEMOCRATIC CLUB PAC",2010,396,"0",0,0,0
"5","ALLIANCE FOR FULL ACCEPTANCE",2006,41313.9,"0",0,0,0
"6","AMERICAN AIDS",1998,1000,"0",0,0,0
"7","AMERICAN AIDS",1996,500,"0",0,0,0
"8","ARCUS FOUNDATION",2009,97557,"0",0,0,0
"9","ARIZONA HUMAN RIGHTS FUND",2004,5280,"ARIZONA DEMOCRATIC PARTY",5000,5000,0.946969696969697
"10","ARIZONA HUMAN RIGHTS FUND",2002,270,"0",0,0,0
"11","ARIZONA HUMAN RIGHTS FUND",2000,4578,"0",0,0,0
"12","ARIZONA HUMAN RIGHTS FUND",1998,4827.96,"0",0,0,0
"13","ARIZONA HUMAN RIGHTS FUND",1996,8010,"0",0,0,0
"14","ARIZONA STONEWALL DEMOCRATS",2002,1550,"ARIZONA DEMOCRATIC PARTY",1550,1550,1
"15","ARIZONA STONEWALL DEMOCRATS",2000,3000,"ARIZONA DEMOCRATIC PARTY",3000,3000,1
"16","ARIZONA TOGETHER",2006,500,"0",0,0,0
"17","ARIZONA TOGETHER SUPPORTERS INC",2008,161100,"0",0,0,0
"18","ASTRAEA FOUNDATION",2004,350,"0",0,0,0
"19","ATLANTA STONEWALL DEMOCRATS",2010,50,"0",0,0,0
"20","ATLANTA STONEWALL DEMOCRATS",2007,2000,"GEORGIA DEMOCRATIC PARTY",2000,2000,1
"21","ATLANTA STONEWALL DEMOCRATS",2006,2725,"0",0,0,0
"22","AUSTIN GAY & LESBIAN INTERNATIONAL FILM FESTIVAL",2005,500,"0",0,0,0
"23","BALTIMORE OUTLOUD",2012,800,"0",0,0,0
"24","BALTIMORE OUTLOUD",2006,500,"0",0,0,0
"25","BASIC RIGHTS OF OR ELECT PAC 3087",2000,2564,"0",0,0,0
"26","BASIC RIGHTS OF OREGON ELECT PAC 3087",2000,2503,"0",0,0,0
"27","BASIC RIGHTS OF OREGON ELECT PAC 3087",2000,41,"0",0,0,0
"28","BASIC RIGHTS OF OREGON PAC",2002,2500,"0",0,0,0
"29","BASIC RIGHTS OF OREGON PAC",2000,757,"OREGON HOUSE DEMOCRATIC CAMPAIGN CMTE",500,750,0.990752972258917
"30","BASIC RIGHTS OF OREGON PAC",2000,757,"OREGON SENATE DEMOCRATIC CAMPAIGN CMTE",250,750,0.990752972258917
"31","BASIC RIGHTS OF OREGON PAC",1998,5000,"OREGON DEMOCRATIC PARTY",5000,5000,1
"32","BASIC RIGHTS OREGON",2018,74650,"OREGON SENATE DEMOCRATIC CAMPAIGN CMTE",1000,1000,0.0133958472873409
"33","BASIC RIGHTS OREGON",2016,60500,"OREGON DEMOCRATIC PARTY",250,250,0.00413223140495868
"34","BASIC RIGHTS OREGON",2015,713.52,"OREGON DEMOCRATIC PARTY",713.52,713.52,1
"35","BASIC RIGHTS OREGON",2014,90390,"0",0,0,0
"36","BASIC RIGHTS OREGON",2013,250,"OREGON DEMOCRATIC PARTY",250,250,1
"37","BASIC RIGHTS OREGON",2012,110428.14,"0",0,0,0
"38","BASIC RIGHTS OREGON",2011,600,"OREGON DEMOCRATIC PARTY",600,600,1
"39","BASIC RIGHTS OREGON",2010,42700.55,"OREGON HOUSE DEMOCRATIC CAMPAIGN CMTE",869.3,869.3,0.0203580515941832
"40","BASIC RIGHTS OREGON",2009,9783.8,"OREGON DEMOCRATIC PARTY",465,465,0.0475275455344549
"41","BASIC RIGHTS OREGON",2008,102301.49,"0",0,0,0
"42","BASIC RIGHTS OREGON",2007,1000,"0",0,0,0
"43","BASIC RIGHTS OREGON",2006,96131.96,"OREGON HOUSE DEMOCRATIC CAMPAIGN CMTE",13661.98,15246.98,0.158604692965794
"44","BASIC RIGHTS OREGON",2006,96131.96,"OREGON SENATE DEMOCRATIC CAMPAIGN CMTE",1000,15246.98,0.158604692965794
"45","BASIC RIGHTS OREGON",2006,96131.96,"OREGON DEMOCRATIC PARTY",585,15246.98,0.158604692965794
"46","BASIC RIGHTS OREGON",2004,195992.62,"0",0,0,0
"47","BASIC RIGHTS OREGON",2002,48360.63,"OREGON HOUSE DEMOCRATIC CAMPAIGN CMTE",3000,3500,0.0723729198730455
"48","BASIC RIGHTS OREGON",2002,48360.63,"OREGON DEMOCRATIC PARTY",500,3500,0.0723729198730455
"49","BASIC RIGHTS OREGON",2000,127,"0",0,0,0
"50","BASIC RIGHTS OREGON",1998,15198.88,"OREGON HOUSE DEMOCRATIC CAMPAIGN CMTE",932.88,1032.88,0.0679576389839251
"51","BASIC RIGHTS OREGON",1998,15198.88,"OREGON SENATE DEMOCRATIC CAMPAIGN CMTE",100,1032.88,0.0679576389839251
"52","BAY STATE GAY & LESBIAN DEMOCRATS",2012,200,"0",0,0,0
"53","BAY STATE GAY & LESBIAN DEMOCRATS",2008,600,"MASSACHUSETTS DEMOCRATIC PARTY",200,200,0.333333333333333
"54","BAY STATE GAY & LESBIAN DEMOCRATS",2006,1500,"0",0,0,0
"55","BAY STATE GAY & LESBIAN DEMOCRATS",2004,4800,"0",0,0,0
"56","BAY STATE GAY & LESBIAN DEMOCRATS",2002,1700,"MASSACHUSETTS DEMOCRATIC PARTY",450,450,0.264705882352941
"57","BAY STATE GAY & LESBIAN DEMOCRATS",2000,1150,"MASSACHUSETTS DEMOCRATIC PARTY",100,100,0.0869565217391304
"58","BAY STATE GAY & LESBIAN DEMOCRATS PAC",2002,500,"0",0,0,0
"59","BAY STATE GAY & LESBIAN DEMOCRATS PAC",2000,250,"0",0,0,0
"60","BAY STATE STONEWALL DEMOCRATS",2018,200,"0",0,0,0
"61","BAY STATE STONEWALL DEMOCRATS",2014,900,"0",0,0,0
"62","BAY STATE STONEWALL DEMOCRATS",2012,1000,"0",0,0,0
"63","BAY STATE STONEWALL DEMOCRATS",2009,250,"0",0,0,0
"64","BAY STATE STONEWALL DEMOCRATS",2006,250,"0",0,0,0
"65","BAY STATE STONEWALL DEMOCRATS",2004,875,"0",0,0,0
"66","BAY STATE STONEWALL DEMOCRATS",2002,100,"0",0,0,0
"67","BLACK HILLS AREA GAY & LESBIAN ASSOCIATION",2006,688,"0",0,0,0
"68","BOULDER PRIDE",2006,2655,"0",0,0,0
"69","BRO ELECT PAC",2000,77,"0",0,0,0
"70","BROWARD LOG CABIN CLUB",2012,725,"0",0,0,0
"71","BROWARD LOG CABIN CLUB",2010,100,"0",0,0,0
"72","BROWARD LOG CABIN CLUB",2008,1000,"0",0,0,0
"73","BROWARD LOG CABIN REPUBLICAN CLUB",2012,50,"0",0,0,0
"74","BRUCE W BASTIAN FOUNDATION",2004,239000,"0",0,0,0
"75","BSG&L DEMOCRATS PAC INC",2004,250,"0",0,0,0
"76","BWB PROPERTIES",2008,1500,"UTAH CMTE FOR A DEMOCRATIC MAJORITY",1500,1500,1
"77","BWB PROPERTIES",2006,5500,"UTAH CMTE FOR A DEMOCRATIC MAJORITY",1500,1500,0.272727272727273
"78","CALIFORNIA MARRIAGE PAC",2010,1000,"CALIFORNIA DEMOCRATIC PARTY",1000,1000,1
"79","CALIFORNIA MARRIAGE PAC",2009,25000,"0",0,0,0
"80","CALIFORNIANS FOR FAIRNESS",2000,5000,"VERMONT DEMOCRATIC PARTY",2000,5000,1
