Interest Group,Year,Party Committee,Amount Contributed
HUMAN RIGHTS CAMPAIGN,2012,OHIO DEMOCRATIC PARTY,63625.97
HUMAN RIGHTS CAMPAIGN,2013,VIRGINIA DEMOCRATIC PARTY,58265.44
HUMAN RIGHTS CAMPAIGN,2008,NEW YORK DEMOCRATIC SENATE CAMPAIGN CMTE,55125.66
HUMAN RIGHTS CAMPAIGN,2018,GEORGIA DEMOCRATIC PARTY,32521.00
HUMAN RIGHTS CAMPAIGN,2008,ARIZONA DEMOCRATIC PARTY,29520.00
HUMAN RIGHTS CAMPAIGN,2010,FLORIDA DEMOCRATIC PARTY,29402.00
HUMAN RIGHTS CAMPAIGN,2015,DEMOCRATIC CONGRESSIONAL CAMPAIGN CMTE,29000.00
HUMAN RIGHTS CAMPAIGN,2006,NEW HAMPSHIRE DEMOCRATIC SENATE CAUCUS,27934.92
HUMAN RIGHTS CAMPAIGN,2016,NORTH CAROLINA DEMOCRATIC PARTY,22697.62
HUMAN RIGHTS CAMPAIGN,2008,NEW HAMPSHIRE DEMOCRATIC SENATE CAUCUS,21000.00
HUMAN RIGHTS CAMPAIGN,2018,DEMOCRATIC CONGRESSIONAL CAMPAIGN CMTE,20500.00
HUMAN RIGHTS CAMPAIGN,2011,DEMOCRATIC CONGRESSIONAL CAMPAIGN CMTE,20000.00
HUMAN RIGHTS CAMPAIGN,2010,NEW YORK DEMOCRATIC SENATE CAMPAIGN CMTE,19691.00
HUMAN RIGHTS CAMPAIGN,2016,DEMOCRATIC CONGRESSIONAL CAMPAIGN CMTE,19000.00
HUMAN RIGHTS CAMPAIGN,2017,VIRGINIA DEMOCRATIC PARTY,17514.42
HUMAN RIGHTS CAMPAIGN,2008,MINNESOTA DEMOCRATIC-FARMER-LABOR PARTY,17500.00
HUMAN RIGHTS CAMPAIGN,2013,DEMOCRATIC CONGRESSIONAL CAMPAIGN CMTE,17500.00
HUMAN RIGHTS CAMPAIGN,2008,OHIO HOUSE OF REPRESENTATIVES DEMOCRATIC CAUCUS,16000.00
HUMAN RIGHTS CAMPAIGN,2009,DEMOCRATIC CONGRESSIONAL CAMPAIGN CMTE,16000.00
HUMAN RIGHTS CAMPAIGN,2010,DEMOCRATIC CONGRESSIONAL CAMPAIGN CMTE,16000.00
HUMAN RIGHTS CAMPAIGN,2018,ARIZONA DEMOCRATIC PARTY,15230.51
HUMAN RIGHTS CAMPAIGN,2018,FLORIDA DEMOCRATIC PARTY,15013.91
HUMAN RIGHTS CAMPAIGN,2009,US DEMOCRATIC SENATORIAL CAMPAIGN CMTE,15000.00
HUMAN RIGHTS CAMPAIGN,2010,US DEMOCRATIC SENATORIAL CAMPAIGN CMTE,15000.00
HUMAN RIGHTS CAMPAIGN,2011,US DEMOCRATIC SENATORIAL CAMPAIGN CMTE,15000.00
HUMAN RIGHTS CAMPAIGN,2012,US DEMOCRATIC SENATORIAL CAMPAIGN CMTE,15000.00
HUMAN RIGHTS CAMPAIGN,2012,DEMOCRATIC CONGRESSIONAL CAMPAIGN CMTE,15000.00
HUMAN RIGHTS CAMPAIGN,2014,DEMOCRATIC CONGRESSIONAL CAMPAIGN CMTE,15000.00
HUMAN RIGHTS CAMPAIGN,2015,US DEMOCRATIC SENATORIAL CAMPAIGN CMTE,15000.00
HUMAN RIGHTS CAMPAIGN,2016,US DEMOCRATIC SENATORIAL CAMPAIGN CMTE,15000.00
HUMAN RIGHTS CAMPAIGN,2017,US DEMOCRATIC SENATORIAL CAMPAIGN CMTE,15000.00
HUMAN RIGHTS CAMPAIGN,2017,DEMOCRATIC NATIONAL CMTE,15000.00
HUMAN RIGHTS CAMPAIGN,2017,DEMOCRATIC CONGRESSIONAL CAMPAIGN CMTE,15000.00
HUMAN RIGHTS CAMPAIGN,2018,US DEMOCRATIC SENATORIAL CAMPAIGN CMTE,15000.00
HUMAN RIGHTS CAMPAIGN,2019,DEMOCRATIC NATIONAL CMTE,15000.00
HUMAN RIGHTS CAMPAIGN,2019,DEMOCRATIC CONGRESSIONAL CAMPAIGN CMTE,15000.00
