request,Contributor:token,Contributor:id,Contributor,Type_of_Contributor:token,Type_of_Contributor:id,Type_of_Contributor,#_of_Records,Total_$
dt=1&d-et=3&d-cci=86&d-eid=1276,d-eid,1276,HUMAN RIGHTS CAMPAIGN,d-et,3,Non-Individual,3473,18884400.54
dt=1&d-et=3&d-cci=86&d-eid=14586,d-eid,14586,EQUALITY CALIFORNIA,d-et,3,Non-Individual,219,11768456.31
dt=1&d-et=3&d-cci=86&d-eid=12456,d-eid,12456,GILL ACTION FUND,d-et,3,Non-Individual,61,5269714.03
dt=1&d-et=3&d-cci=86&d-eid=857979,d-eid,857979,FREEDOM TO MARRY,d-et,3,Non-Individual,166,4258164.82
dt=1&d-et=3&d-cci=86&d-eid=14591,d-eid,14591,NO ON PROPOSITION 8 CAMPAIGN FOR MARRIAGE EQUALITY,d-et,3,Non-Individual,5,1955754.55
dt=1&d-et=3&d-cci=86&d-eid=6893,d-eid,6893,GAY & LESBIAN VICTORY FUND,d-et,3,Non-Individual,804,1954045.47
dt=1&d-et=3&d-cci=86&d-eid=8000,d-eid,8000,NATIONAL GAY & LESBIAN TASK FORCE,d-et,3,Non-Individual,153,1844788.83
dt=1&d-et=3&d-cci=86&d-eid=11924,d-eid,11924,EMPIRE STATE PRIDE AGENDA,d-et,3,Non-Individual,515,1291304
dt=1&d-et=3&d-cci=86&d-eid=28305717,d-eid,28305717,EQUALITY PAC,d-et,3,Non-Individual,224,906336.6
dt=1&d-et=3&d-cci=86&d-eid=3217,d-eid,3217,BASIC RIGHTS OREGON,d-et,3,Non-Individual,384,849128.59
dt=1&d-et=3&d-cci=86&d-eid=3792829,d-eid,3792829,ACTION WISCONSIN,d-et,3,Non-Individual,44,816897.97
dt=1&d-et=3&d-cci=86&d-eid=16164413,d-eid,16164413,LPAC,d-et,3,Non-Individual,117,800400
dt=1&d-et=3&d-cci=86&d-eid=9928626,d-eid,9928626,GENERAL TREASURY TRANSFER,d-et,3,Non-Individual,35,761044.26
dt=1&d-et=3&d-cci=86&d-eid=46852595,d-eid,46852595,FREEDOM MASSACHUSETTS EDUCATION FUND,d-et,3,Non-Individual,9,705932.8
dt=1&d-et=3&d-cci=86&d-eid=9175959,d-eid,9175959,PROJECT 515,d-et,3,Non-Individual,72,666199.19
dt=1&d-et=3&d-cci=86&d-eid=10811,d-eid,10811,CALIFORNIANS FOR PROGRESS - NO ON 17 FKA CALIFORNIANS AGAINST ELIMINATING BASIC RIGHTS NO ON PROPOSITION 8,d-et,3,Non-Individual,4,661500
dt=1&d-et=3&d-cci=86&d-eid=14588,d-eid,14588,NO ON 8 NATIONAL CENTER FOR LESBIAN RIGHTS SOCIAL JUSTICE FUND,d-et,3,Non-Individual,19,614026
dt=1&d-et=3&d-cci=86&d-eid=9175905,d-eid,9175905,OUTFRONT MINNESOTA,d-et,3,Non-Individual,20,565552.66
dt=1&d-et=3&d-cci=86&d-eid=13756,d-eid,13756,LOS ANGELES GAY & LESBIAN COMMUNITY SERVICES CENTER,d-et,3,Non-Individual,74,548294.08
dt=1&d-et=3&d-cci=86&d-eid=10967,d-eid,10967,CENTER ADVOCACY PROJECT,d-et,3,Non-Individual,44,506294.37
dt=1&d-et=3&d-cci=86&d-eid=1114289,d-eid,1114289,EQUALITY MAINE,d-et,3,Non-Individual,73,485128.89
dt=1&d-et=3&d-cci=86&d-eid=9973770,d-eid,9973770,GAY & LESBIAN ADVOCATES & DEFENDERS,d-et,3,Non-Individual,121,404070.84
dt=1&d-et=3&d-cci=86&d-eid=2598137,d-eid,2598137,EQUALITY ILLINOIS,d-et,3,Non-Individual,230,380157.25
dt=1&d-et=3&d-cci=86&d-eid=22215684,d-eid,22215684,LESBIAN GAY BISEXUAL TRANSGENDER CAUCUS LEADERSHIP FUND,d-et,3,Non-Individual,50,297386.51
