Interest Group,Year,State,Candidate,Election Outcome,Election Type,Party,Incumbent,Office,Contribution
HUMAN RIGHTS CAMPAIGN,2017,VA,"NORTHAM, RALPH S",Won-General,Standard,DEMOCRATIC,Open,GOVERNOR,63695.50
HUMAN RIGHTS CAMPAIGN,2019,VA,"ROEM, DANICA A",Won-General,Standard,DEMOCRATIC,Incumbent,HOUSE DISTRICT 013,24716.57
HUMAN RIGHTS CAMPAIGN,2008,PA,"BRADFORD, MATTHEW D",Won-General,Standard,DEMOCRATIC,Challenger,HOUSE DISTRICT 070,22901.43
HUMAN RIGHTS CAMPAIGN,2008,PA,"LEE, KEVIN M",Lost-General,Standard,DEMOCRATIC,Challenger,HOUSE DISTRICT 163,20000.00
HUMAN RIGHTS CAMPAIGN,2019,VA,"ADAMS, DAWN M",Won-General,Standard,DEMOCRATIC,Incumbent,HOUSE DISTRICT 068,18699.34
HUMAN RIGHTS CAMPAIGN,2017,VA,"ROEM, DANICA A",Won-General,Standard,DEMOCRATIC,Challenger,HOUSE DISTRICT 013,18141.42
HUMAN RIGHTS CAMPAIGN,2018,OR,"BROWN, KATE",Won-General,Standard,DEMOCRATIC,Incumbent,GOVERNOR,15576.47
HUMAN RIGHTS CAMPAIGN,2012,PA,"MURPHY, PATRICK J",Lost-Primary,Standard,DEMOCRATIC,Open,ATTORNEY GENERAL,15000.00
HUMAN RIGHTS CAMPAIGN,2008,PA,"CUSTER, FRANK X",Lost-General,Standard,DEMOCRATIC,Challenger,HOUSE DISTRICT 061,15000.00
HUMAN RIGHTS CAMPAIGN,2008,PA,"FARNESE JR, LAWRENCE M (LARRY)",Won-General,Standard,DEMOCRATIC,Open,SENATE DISTRICT 001,15000.00
HUMAN RIGHTS CAMPAIGN,2008,PA,"TAYLOR, RICK",Won-General,Standard,DEMOCRATIC,Incumbent,HOUSE DISTRICT 151,15000.00
HUMAN RIGHTS CAMPAIGN,2012,AZ,"BARBER, RON",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT AZ 002,15000.00
HUMAN RIGHTS CAMPAIGN,2012,OH,"BROWN, SHERROD",Won-General,Standard,DEMOCRATIC,Incumbent,US SENATE DISTRICT OH SW-CLASS I,14518.00
HUMAN RIGHTS CAMPAIGN,2014,LA,"LANDRIEU, MARY L",Lost-General,Standard,DEMOCRATIC,Incumbent,US SENATE DISTRICT LA SW-CLASS II,14040.00
HUMAN RIGHTS CAMPAIGN,2010,NY,"KENNEDY, TIMOTHY M",Won-General,Standard,DEMOCRATIC,Challenger,SENATE DISTRICT 058,13523.72
HUMAN RIGHTS CAMPAIGN,2014,OR,"MERKLEY, JEFFREY ALAN (JEFF)",Won-General,Standard,DEMOCRATIC,Incumbent,US SENATE DISTRICT OR SW-CLASS II,13157.37
HUMAN RIGHTS CAMPAIGN,2008,TX,"KENT, CAROL",Won-General,Standard,DEMOCRATIC,Challenger,HOUSE DISTRICT 102,13144.04
HUMAN RIGHTS CAMPAIGN,2007,VA,"BARKER, GEORGE LINCOLN",Won-General,Standard,DEMOCRATIC,Challenger,SENATE DISTRICT 039,13039.54
HUMAN RIGHTS CAMPAIGN,2015,VA,"GECKER, DANIEL ALLEN",Lost-General,Standard,DEMOCRATIC,Open,SENATE DISTRICT 010,12899.64
HUMAN RIGHTS CAMPAIGN,2016,CO,"BENNET, MICHAEL FARRAND",Won-General,Standard,DEMOCRATIC,Incumbent,US SENATE DISTRICT CO SW-CLASS III,12500.00
HUMAN RIGHTS CAMPAIGN,2010,TX,"WHITE, BILL",Lost-General,Standard,DEMOCRATIC,Challenger,GOVERNOR,12425.00
HUMAN RIGHTS CAMPAIGN,2010,CT,"HIMES, JAMES A",Won-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT CT 004,12000.00
HUMAN RIGHTS CAMPAIGN,2015,VA,"MCPIKE, JEREMY S",Won-General,Standard,DEMOCRATIC,Open,SENATE DISTRICT 029,11805.24
HUMAN RIGHTS CAMPAIGN,2014,IL,"SCHNEIDER, BRADLEY SCOTT (BRAD)",Lost-General,Standard,DEMOCRATIC,Incumbent,US HOUSE DISTRICT IL 010,11685.00
HUMAN RIGHTS CAMPAIGN,2015,VA,"MCCABE, BARBARA JILL",Lost-General,Standard,DEMOCRATIC,Challenger,SENATE DISTRICT 013,11560.36
HUMAN RIGHTS CAMPAIGN,2018,TX,"JOHNSON, JULIE",Won-General,Standard,DEMOCRATIC,Challenger,HOUSE DISTRICT 115,11515.56
HUMAN RIGHTS CAMPAIGN,2016,WI,"FEINGOLD, RUSSELL DANA",Lost-General,Standard,DEMOCRATIC,Challenger,US SENATE DISTRICT WI SW-CLASS III,11000.00
HUMAN RIGHTS CAMPAIGN,2013,VA,"MCAULIFFE, TERENCE RICHARD (TERRY)",Won-General,Standard,DEMOCRATIC,Open,GOVERNOR,10982.04
HUMAN RIGHTS CAMPAIGN,2018,FL,"NELSON, BILL",Lost-General,Standard,DEMOCRATIC,Incumbent,US SENATE DISTRICT FL SW-CLASS I,10937.01
HUMAN RIGHTS CAMPAIGN,2012,AZ,"SINEMA, KYRSTEN",Won-General,Standard,DEMOCRATIC,Open,US HOUSE DISTRICT AZ 009,10845.43
HUMAN RIGHTS CAMPAIGN,2019,VA,"HELMER, DAN I",Won-General,Standard,DEMOCRATIC,Challenger,HOUSE DISTRICT 040,10723.84
HUMAN RIGHTS CAMPAIGN,2017,VA,"FAIRFAX, JUSTIN E",Won-General,Standard,DEMOCRATIC,Open,LIEUTENANT GOVERNOR,10383.89
