Interest Group,Year,Amount Contributed
EQUALITY CALIFORNIA,2008,11449174.72
HUMAN RIGHTS CAMPAIGN,2012,6692525.21
HUMAN RIGHTS CAMPAIGN,2008,4709936.06
FREEDOM TO MARRY,2012,4014179.82
GILL ACTION FUND,2006,3806884.45
NO ON PROPOSITION 8 CAMPAIGN FOR MARRIAGE EQUALITY,2008,1955754.55
HUMAN RIGHTS CAMPAIGN,2018,1305683.59
HUMAN RIGHTS CAMPAIGN,2004,1117654.27
HUMAN RIGHTS CAMPAIGN,2016,1029000.39
HUMAN RIGHTS CAMPAIGN,2014,1022273.12
HUMAN RIGHTS CAMPAIGN,2010,1018061.46
EQUALITY PAC,2018,826336.60
ACTION WISCONSIN,2006,816897.97
NATIONAL GAY & LESBIAN TASK FORCE,2004,789358.00
GAY & LESBIAN VICTORY FUND,2012,706158.00
FREEDOM MASSACHUSETTS EDUCATION FUND,2018,705932.80
GENERAL TREASURY TRANSFER,2009,693862.50
CALIFORNIANS FOR PROGRESS - NO ON 17 FKA CALIFORNIANS AGAINST ELIMINATING BASIC RIGHTS NO ON PROPOSITION 8,2008,661500.00
NO ON 8 NATIONAL CENTER FOR LESBIAN RIGHTS SOCIAL JUSTICE FUND,2008,614026.00
PROJECT 515,2012,590749.19
HUMAN RIGHTS CAMPAIGN,2009,589449.15
CENTER ADVOCACY PROJECT,2008,506294.37
OUTFRONT MINNESOTA,2012,504402.66
HUMAN RIGHTS CAMPAIGN,2006,440410.33
GAY & LESBIAN VICTORY FUND,2018,419566.56
GILL ACTION FUND,2010,405500.00
GILL ACTION FUND,2008,399005.10
LOS ANGELES GAY & LESBIAN COMMUNITY SERVICES CENTER,2008,375397.28
GILL ACTION FUND,2012,319000.00
LPAC,2012,314500.00
NATIONAL GAY & LESBIAN TASK FORCE,2012,304143.82
NATIONAL GAY & LESBIAN TASK FORCE,2008,303148.78
EQUALITY MAINE,2012,299993.12
MARYLANDERS FOR MARRIAGE EQUALITY,2012,291687.20
EMPIRE STATE PRIDE AGENDA,2008,290600.00
MINNESOTANS UNITED FOR ALL FAMILIES,2012,290366.00
GAY & LESBIAN ADVOCATES & DEFENDERS,2012,289812.84
GILL ACTION FUND,2009,277000.00
TASK FORCE CALIFORNIA CMTE - NO ON 8,2008,246678.70
EMPIRE STATE PRIDE AGENDA,2010,242300.00
BRUCE W BASTIAN FOUNDATION,2004,239000.00
NATIONAL GAY & LESBIAN TASK FORCE,2005,236357.57
FREEDOM TO MARRY,2009,232385.00
LPAC,2016,230900.00
GAY & LESBIAN ALLIANCE AGAINST DEFAMATION,2008,197081.26
HUMAN RIGHTS CAMPAIGN,2005,196842.88
BASIC RIGHTS OREGON,2004,195992.62
LPAC,2014,181000.00
EMPIRE STATE PRIDE AGENDA,2006,180900.00
EMPIRE STATE PRIDE AGENDA,2012,179550.00
HUMAN RIGHTS CAMPAIGN,2017,177716.07
NATIONAL GAY & LESBIAN TASK FORCE,2009,174011.72
LOS ANGELES GAY & LESBIAN COMMUNITY SERVICES CENTER,2012,172896.80
EMPIRE STATE PRIDE AGENDA,2014,170500.00
EQUALITY VIRGINIA,2006,169322.00
LESBIAN GAY BISEXUAL TRANSGENDER CAUCUS LEADERSHIP FUND,2018,167086.51
EQUALITY ILLINOIS,2014,163304.41
ARIZONA TOGETHER SUPPORTERS INC,2008,161100.00
GAY & LESBIAN VICTORY FUND,2010,160407.34
FREEDOM FOR ALL AMERICANS,2018,156026.23
GAY & LESBIAN VICTORY FUND,2008,154306.51
HUMAN RIGHTS CAMPAIGN,2011,153225.00
EQUALITY MARYLAND,2012,146518.00
EQUALITY CALIFORNIA,2016,141600.00
COMMONWEALTH COALITION,2006,132171.44
EQUALITY MAINE,2009,131925.00
HUMAN RIGHTS CAMPAIGN,2019,127655.18
CIVIL MARRIAGE COLLABORATIVE,2012,125000.00
GAY & LESBIAN ADVOCATES & DEFENDERS,2009,114258.00
BASIC RIGHTS OREGON,2012,110428.14
TEXAS EQUITY PAC,2014,110245.00
HUMAN RIGHTS CAMPAIGN,2013,109212.12
GAY & LESBIAN VICTORY FUND,2006,106267.39
BASIC RIGHTS OREGON,2008,102301.49
EQUALITY FLORIDA ACTION NETWORK,2008,102301.02
HORIZONS FOUNDATION,2008,100000.00
ARCUS FOUNDATION,2009,97557.00
SOUTH CAROLINA EQUALITY COALITION,2006,96603.65
BASIC RIGHTS OREGON,2006,96131.96
HUMAN RIGHTS CAMPAIGN,2015,95499.45
GAY & LESBIAN VICTORY FUND,2014,95407.69
EQUALITY ILLINOIS,2012,93723.00
TEXAS EQUITY PAC,2018,91800.00
BASIC RIGHTS OREGON,2014,90390.00
LESBIAN GAY BISEXUAL TRANSGENDER CAUCUS LEADERSHIP FUND,2016,89600.00
PRIDE FOUNDATION,2012,87870.00
ILLINOIS FAIRNESS FUND,2010,87653.53
EQUAL RIGHTS WASHINGTON,2012,84073.76
BASIC RIGHTS OREGON,2018,74650.00
GAY & LESBIAN VICTORY FUND,2004,70049.30
GENERAL TREASURY TRANSFER,2008,67181.76
GLBTQ LEGAL ADVOCATES & DEFENDERS INC,2018,65000.00
EQUALITY CALIFORNIA,2018,64750.00
ONE COLORADO,2018,62700.00
GAY & LESBIAN VICTORY FUND,2011,61850.00
BASIC RIGHTS OREGON,2016,60500.00
TWO SISTERS & A WIFE FOUNDATION,2009,60000.00
FAMILY EQUALITY COUNCIL,2008,59687.55
ONE COLORADO,2016,58822.68
RIGHT TO PRIVACY PAC,1994,58100.00
HUMAN RIGHTS CAMPAIGN,2007,57532.76
LPAC,2018,56600.00
RIGHT TO PRIVACY PAC,1992,55250.00
ONE COLORADO,2012,54600.00
EQUALITY MICHIGAN,2004,53500.00
GAY & LESBIAN VICTORY FUND,2013,52925.00
KEVIN J MOSSIER FOUNDATION,2012,52500.00
GAY & LESBIAN RESOURCE CENTER IOWA,2002,50000.00
LESBIAN EQUITY FOUNDATION,2008,50000.00
NATIONAL CENTER FOR LESBIAN RIGHTS,2008,50000.00
BASIC RIGHTS OREGON,2002,48360.63
NO NONSENSE IN NOVEMBER,2005,47265.00
MAINERS UNITED FOR MARRIAGE,2012,46977.00
EQUALITY NORTH CAROLINA,2006,46646.80
EQUALITY ILLINOIS,2010,46554.84
LOG CABIN REPUBLICANS NEW YORK,2008,46500.00
EMPIRE STATE PRIDE AGENDA,2000,45800.00
GREATER BOSTON PFLAG,2018,45000.00
EQUALITY MICHIGAN,2008,44300.00
GAY & LESBIAN VICTORY FUND,2016,44200.00
JLS OPERATIONS,2010,44000.00
