Name,ID Number
HUMAN RIGHTS CAMPAIGN,1276
EQUALITY CALIFORNIA,14586
GILL ACTION FUND,12456
FREEDOM TO MARRY,857979
GAY & LESBIAN VICTORY FUND,6893
NO ON PROPOSITION 8 CAMPAIGN FOR MARRIAGE EQUALITY,14591
NATIONAL GAY & LESBIAN TASK FORCE,8000
EMPIRE STATE PRIDE AGENDA,11924
EQUALITY PAC,28305717
BASIC RIGHTS OREGON,3217
ACTION WISCONSIN,3792829
LPAC,16164413
GENERAL TREASURY TRANSFER,9928626
FREEDOM MASSACHUSETTS EDUCATION FUND,46852595
PROJECT 515,9175959
CALIFORNIANS FOR PROGRESS - NO ON 17 FKA CALIFORNIANS AGAINST ELIMINATING BASIC RIGHTS NO ON PROPOSITION 8,10811
NO ON 8 NATIONAL CENTER FOR LESBIAN RIGHTS SOCIAL JUSTICE FUND,14588
OUTFRONT MINNESOTA,9175905
LOS ANGELES GAY & LESBIAN COMMUNITY SERVICES CENTER,13756
CENTER ADVOCACY PROJECT,10967
EQUALITY MAINE,1114289
GAY & LESBIAN ADVOCATES & DEFENDERS,9973770
EQUALITY ILLINOIS,2598137
LESBIAN GAY BISEXUAL TRANSGENDER CAUCUS LEADERSHIP FUND,22215684
MARYLANDERS FOR MARRIAGE EQUALITY,15603138
MINNESOTANS UNITED FOR ALL FAMILIES,11030050
EQUALITY VIRGINIA,5687696
TEXAS EQUITY PAC,11495215
TASK FORCE CALIFORNIA CMTE - NO ON 8,16353
BRUCE W BASTIAN FOUNDATION,6085
ONE COLORADO,5998554
GAY & LESBIAN ALLIANCE AGAINST DEFAMATION,12387
EQUALITY UTAH,9837221
EQUALITY MARYLAND,4733411
ARIZONA TOGETHER SUPPORTERS INC,10096
EQUALITY NORTH CAROLINA,5844915
FREEDOM FOR ALL AMERICANS,40334856
EQUAL RIGHTS WASHINGTON,2607370
PRIDE FOUNDATION,8570
COMMONWEALTH COALITION,6031075
LOG CABIN REPUBLICANS,1565
CIVIL MARRIAGE COLLABORATIVE,15268
HORIZONS FOUNDATION,12933
EQUALITY MICHIGAN,7783
SOUTH CAROLINA EQUALITY COALITION,8230066
LOG CABIN REPUBLICANS NEW YORK,13728
EQUALITY FLORIDA ACTION NETWORK,969458
RIGHT TO PRIVACY PAC,5477728
ARCUS FOUNDATION,10085
ILLINOIS FAIRNESS FUND,2599274
STONEWALL DEMOCRATIC CLUB OF GREATER SACRAMENTO,100539
MASSEQUALITY,22978
LOVE MAKES A FAMILY,13788
DELAWARE STONEWALL DEMOCRATS,6538
FAIRNESS FUND,6015613
GLBTQ LEGAL ADVOCATES & DEFENDERS INC,46852592
INDIANA STONEWALL DEMOCRATS,5320073
RIGHT TO PRIVACY PAC,5392730
EQUALITY SOUTH DAKOTA,8607782
FAMILY EQUALITY COUNCIL,12051
TWO SISTERS & A WIFE FOUNDATION,9992303
MICHIGAN PRIDE,1727525
MINNESOTA UNITED PAC,21529841
NATIONAL CENTER FOR LESBIAN RIGHTS,14410
GARDEN STATE EQUALITY,1126201
KEVIN J MOSSIER FOUNDATION,16877360
GARDEN STATE EQUALITY LLC,6551997
